object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,evenodd,fill,fontname,linewidth,matrix,mcid,ncs,non_stroking_color,non_stroking_pattern,pts,size,stroke,stroking_color,stroking_pattern,tag,text,upright
rect,1,899.26,899.5,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(899.26, 78.98000000000002), (899.5, 78.98000000000002), (899.5, 70.34000000000003), (899.26, 70.34000000000003)]",,0,,,,,
rect,1,145.7,145.94,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(145.7, 114.98000000000002), (145.94, 114.98000000000002), (145.94, 79.46000000000004), (145.7, 79.46000000000004)]",,0,,,,,
rect,1,180.02,180.26000000000002,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(180.02, 114.98000000000002), (180.26000000000002, 114.98000000000002), (180.26000000000002, 79.46000000000004), (180.02, 79.46000000000004)]",,0,,,,,
rect,1,211.01,211.25,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(211.01, 114.98000000000002), (211.25, 114.98000000000002), (211.25, 79.46000000000004), (211.01, 79.46000000000004)]",,0,,,,,
rect,1,235.25,235.49,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(235.25, 114.98000000000002), (235.49, 114.98000000000002), (235.49, 79.46000000000004), (235.25, 79.46000000000004)]",,0,,,,,
rect,1,265.01,265.25,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(265.01, 114.98000000000002), (265.25, 114.98000000000002), (265.25, 79.46000000000004), (265.01, 79.46000000000004)]",,0,,,,,
rect,1,330.31,330.55,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(330.31, 114.98000000000002), (330.55, 114.98000000000002), (330.55, 79.46000000000004), (330.31, 79.46000000000004)]",,0,,,,,
rect,1,368.23,368.47,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(368.23, 114.98000000000002), (368.47, 114.98000000000002), (368.47, 79.46000000000004), (368.23, 79.46000000000004)]",,0,,,,,
rect,1,444.1,444.34000000000003,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(444.1, 114.98000000000002), (444.34000000000003, 114.98000000000002), (444.34000000000003, 79.46000000000004), (444.1, 79.46000000000004)]",,0,,,,,
rect,1,482.04,482.28000000000003,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(482.04, 114.98000000000002), (482.28000000000003, 114.98000000000002), (482.28000000000003, 79.46000000000004), (482.04, 79.46000000000004)]",,0,,,,,
rect,1,557.88,558.12,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(557.88, 114.98000000000002), (558.12, 114.98000000000002), (558.12, 79.46000000000004), (557.88, 79.46000000000004)]",,0,,,,,
rect,1,595.82,596.0600000000001,497.02,532.54,79.46000000000004,79.46000000000004,114.98000000000002,0.2400000000000091,35.51999999999998,,1,1,,0.24,,,,,,"[(595.82, 114.98000000000002), (596.0600000000001, 114.98000000000002), (596.0600000000001, 79.46000000000004), (595.82, 79.46000000000004)]",,0,,,,,
